hour,cloud_cover,temperature,grid_demand,grid_supply,market_index
11,16,41,75.5,120.0,0.65
13,0,25,62.2,133.3,0.5
22,24,24,50.9,50.0,1.01
21,40,36,98.5,50.0,1.94
19,79,23,93.0,50.0,1.83
8,2,29,70.3,82.7,0.9
10,65,32,62.8,73.3,0.88
17,69,38,108.5,55.2,1.96
1,29,38,44.9,50.0,0.85
3,57,31,34.4,50.0,0.67
13,94,34,61.8,55.0,1.15
17,87,41,113.3,52.2,2.13
22,66,35,59.3,50.0,1.16
2,95,33,35.8,50.0,0.73
23,23,20,54.6,50.0,1.06
13,58,22,56.7,85.0,0.67
6,87,34,75.9,50.0,1.49
4,89,37,40.8,50.0,0.8
21,12,36,105.1,50.0,2.08
22,27,30,49.4,50.0,1.04
0,41,20,34.7,50.0,0.65
6,89,36,79.5,50.0,1.57
3,88,39,48.1,50.0,0.99
9,90,38,89.2,55.0,1.65
13,90,29,61.6,58.3,1.03
1,4,40,45.6,50.0,0.95
6,70,23,75.0,50.0,1.47
4,29,22,33.5,50.0,0.68
8,82,27,70.7,56.0,1.28
11,3,31,61.4,130.8,0.46
8,38,35,82.8,70.7,1.2
18,29,24,87.6,50.0,1.72
18,38,28,95.8,50.0,1.92
12,9,36,67.4,141.0,0.54
22,53,36,55.7,50.0,1.12
21,99,31,98.0,50.0,2.01
14,97,26,60.1,52.0,1.16
13,99,39,78.5,50.8,1.56
23,19,35,50.9,50.0,1.02
4,63,25,28.4,50.0,0.54
14,58,32,68.4,78.0,0.89
12,34,31,63.6,116.0,0.57
10,88,32,63.6,58.0,1.05
15,61,41,74.1,69.5,1.06
13,23,38,68.6,114.2,0.57
17,5,29,92.0,65.8,1.39
20,22,22,95.0,50.0,1.94
6,29,23,71.0,50.0,1.41
15,41,28,56.2,79.5,0.66
3,43,34,34.4,50.0,0.72
15,45,40,76.9,77.5,0.97
19,36,41,107.8,50.0,2.15
4,24,22,30.2,50.0,0.6
23,91,24,44.3,50.0,0.9
16,25,27,59.1,75.0,0.75
20,57,32,92.0,50.0,1.82
10,17,33,55.9,105.3,0.51
12,59,25,59.6,91.0,0.64
16,47,25,57.7,67.7,0.82
2,24,38,40.0,50.0,0.76
23,44,30,48.4,50.0,0.93
17,43,39,104.5,59.5,1.71
0,45,26,30.1,50.0,0.63
13,98,33,69.8,51.7,1.31
6,8,34,78.8,50.0,1.56
2,75,39,45.2,50.0,0.91
21,14,21,89.8,50.0,1.79
9,66,33,80.3,67.0,1.15
13,92,22,57.1,56.7,1.03
14,17,25,53.9,105.3,0.53
16,78,33,66.5,57.3,1.11
1,83,26,28.7,50.0,0.61
17,25,26,99.1,62.5,1.61
21,37,37,106.9,50.0,2.12
18,64,33,99.8,50.0,1.95
23,26,35,63.2,50.0,1.27
23,97,38,60.5,50.0,1.23
16,95,32,65.3,51.7,1.28
22,29,25,49.9,50.0,0.95
0,21,27,26.8,50.0,0.57
9,0,38,88.0,100.0,0.91
14,85,23,65.6,60.0,1.12
17,34,25,97.4,61.0,1.6
19,45,23,101.9,50.0,2.03
6,58,24,78.2,50.0,1.55
19,5,34,102.4,50.0,2.06
7,59,24,76.1,56.8,1.36
8,7,38,84.6,81.0,1.03
2,3,37,41.3,50.0,0.79
14,93,22,58.0,54.7,1.11
13,2,22,62.5,131.7,0.49
5,63,41,43.5,50.0,0.91
23,45,27,49.6,50.0,1.03
11,94,40,71.9,55.0,1.28
3,58,30,26.6,50.0,0.54
2,57,34,37.9,50.0,0.73
6,96,33,81.5,50.0,1.66
22,55,26,50.8,50.0,1.01
1,39,21,28.8,50.0,0.6
0,45,25,26.5,50.0,0.54
14,78,30,56.3,64.7,0.83
16,99,27,60.7,50.3,1.22
14,86,30,50.7,59.3,0.86
18,8,32,102.6,50.0,2.1
9,89,32,78.2,55.5,1.42
0,5,32,28.4,50.0,0.62
11,86,21,58.9,61.7,0.91
10,4,41,78.7,114.0,0.67
17,86,26,95.6,52.3,1.83
14,18,38,72.0,104.7,0.69
3,34,27,32.5,50.0,0.66
11,32,26,56.5,106.7,0.53
4,44,26,33.4,50.0,0.68
5,85,38,35.6,50.0,0.7
7,28,30,76.0,62.0,1.27
6,52,26,72.7,50.0,1.41
10,54,38,70.0,80.7,0.9
17,53,38,108.1,57.8,1.9
1,1,36,33.0,50.0,0.67
22,22,41,63.3,50.0,1.28
6,80,27,73.1,50.0,1.51
5,65,23,26.6,50.0,0.49
9,81,40,87.4,59.5,1.51
23,78,23,51.4,50.0,0.98
13,8,24,56.0,126.7,0.49
18,87,33,100.4,50.0,2.05
0,38,37,33.0,50.0,0.71
23,84,26,51.5,50.0,1.0
18,67,29,94.9,50.0,1.86
22,51,40,60.5,50.0,1.22
8,32,37,87.6,72.7,1.25
20,96,21,91.9,50.0,1.81
13,28,41,76.6,110.0,0.74
0,90,41,48.7,50.0,0.97
8,91,40,90.7,53.0,1.68
4,6,24,34.9,50.0,0.65
23,89,39,58.2,50.0,1.17
21,16,23,97.0,50.0,1.92
18,53,20,91.7,50.0,1.83
2,33,29,33.1,50.0,0.67
15,54,31,66.3,73.0,0.93
18,3,30,93.6,50.0,1.85
19,83,28,89.1,50.0,1.79
10,90,36,71.3,56.7,1.28
15,73,28,59.2,63.5,0.94
19,55,34,99.3,50.0,2.03
15,18,39,74.9,91.0,0.82
6,49,34,85.3,50.0,1.67
23,42,22,47.7,50.0,0.93
20,18,30,91.6,50.0,1.87
11,28,26,57.5,110.0,0.53
23,72,30,53.5,50.0,1.08
18,44,22,93.7,50.0,1.87
3,9,29,32.3,50.0,0.61
10,5,35,67.2,113.3,0.57
11,54,21,55.6,88.3,0.63
20,34,36,106.1,50.0,2.12
3,9,29,26.0,50.0,0.5
5,95,26,30.7,50.0,0.58
5,90,29,33.1,50.0,0.63
8,3,36,84.5,82.3,0.98
8,58,25,71.1,64.0,1.09
14,2,31,62.1,115.3,0.5
5,4,23,23.5,50.0,0.5
0,44,37,41.6,50.0,0.86
0,59,29,37.8,50.0,0.73
14,57,39,75.0,78.7,0.97
1,71,29,34.5,50.0,0.71
1,79,23,27.9,50.0,0.58
19,53,40,112.1,50.0,2.26
21,89,22,96.2,50.0,1.94
11,55,23,61.9,87.5,0.69
0,29,30,28.0,50.0,0.59
7,2,37,86.5,66.3,1.33
5,61,40,44.7,50.0,0.94
1,21,20,30.9,50.0,0.59
19,20,22,92.3,50.0,1.87
3,91,41,46.0,50.0,0.92
7,49,33,83.4,58.5,1.46
0,80,38,35.3,50.0,0.73
5,55,28,29.5,50.0,0.57
14,61,39,72.9,76.0,0.99
7,96,31,74.5,50.7,1.43
18,98,41,114.7,50.0,2.31
21,72,33,97.8,50.0,1.96
19,24,41,110.5,50.0,2.25
7,2,20,73.5,66.3,1.12
14,98,28,57.1,51.3,1.12
3,26,32,39.5,50.0,0.83
17,48,22,92.1,58.7,1.59
17,38,26,94.3,60.3,1.58
12,95,20,61.4,55.0,1.15
0,11,29,31.0,50.0,0.62
11,69,29,57.4,75.8,0.73
14,65,30,59.9,73.3,0.82
1,44,27,27.0,50.0,0.55
6,100,34,76.6,50.0,1.49
15,84,41,74.8,58.0,1.26
22,93,41,63.0,50.0,1.21
8,41,22,75.7,69.7,1.08
14,54,23,62.0,80.7,0.75
20,91,23,99.9,50.0,1.98
1,40,35,41.8,50.0,0.81
15,62,27,61.0,69.0,0.85
2,85,29,31.2,50.0,0.59
2,84,26,32.8,50.0,0.7
11,86,21,64.6,61.7,1.04
13,25,27,59.5,112.5,0.51
19,31,22,93.3,50.0,1.91
18,10,28,95.5,50.0,1.94
8,43,37,82.3,69.0,1.15
2,35,39,44.8,50.0,0.87
12,6,26,59.6,144.0,0.51
11,3,28,63.3,130.8,0.54
8,96,38,87.3,51.3,1.68
21,57,21,90.6,50.0,1.86
19,69,20,95.1,50.0,1.93
0,15,31,33.2,50.0,0.7
0,13,37,40.5,50.0,0.8
11,84,24,58.8,63.3,0.97
20,32,21,94.9,50.0,1.87
9,62,29,77.4,69.0,1.15
16,88,36,71.7,54.0,1.28
11,80,24,63.3,66.7,0.94
9,70,31,77.4,65.0,1.21
20,33,21,98.3,50.0,1.92
2,94,25,37.2,50.0,0.7
19,99,34,102.3,50.0,2.02
22,59,27,49.3,50.0,0.97
8,32,31,73.7,72.7,1.05
9,82,39,88.4,59.0,1.47
23,66,41,66.5,50.0,1.31
19,38,36,105.3,50.0,2.14
0,41,20,31.5,50.0,0.66
21,25,30,98.7,50.0,1.96
23,40,39,62.7,50.0,1.23
13,50,27,65.6,91.7,0.68
5,85,31,27.4,50.0,0.54
4,38,22,30.5,50.0,0.64
17,17,35,101.6,63.8,1.58
8,28,26,76.0,74.0,0.98
3,34,29,29.6,50.0,0.58
3,85,37,40.9,50.0,0.8
9,57,31,72.8,71.5,1.07
10,67,29,60.9,72.0,0.83
10,3,35,62.1,114.7,0.52
23,29,31,50.7,50.0,1.03
7,25,40,89.3,62.5,1.39
7,39,38,90.3,60.2,1.55
10,6,41,78.0,112.7,0.72
11,35,22,69.1,104.2,0.65
3,35,28,35.3,50.0,0.71
21,35,38,106.7,50.0,2.12
20,50,36,103.6,50.0,2.07
19,27,35,102.7,50.0,2.05
21,35,26,100.3,50.0,1.98
13,19,27,53.9,117.5,0.48
0,61,25,31.6,50.0,0.6
20,70,20,90.8,50.0,1.79
6,66,25,74.8,50.0,1.54
8,75,35,90.5,58.3,1.57
0,22,40,47.4,50.0,0.96
22,98,25,56.3,50.0,1.15
11,22,29,60.7,115.0,0.52
1,18,30,32.5,50.0,0.69
21,43,32,96.9,50.0,1.89
12,62,28,60.1,88.0,0.65
0,64,34,36.2,50.0,0.7
0,89,24,29.4,50.0,0.59
19,24,23,97.1,50.0,1.92
2,29,37,36.8,50.0,0.74
19,72,27,88.4,50.0,1.8
11,96,22,62.8,53.3,1.16
6,49,31,70.1,50.0,1.39
18,51,22,98.2,50.0,2.01
3,61,39,42.6,50.0,0.81
17,71,35,106.3,54.8,1.9
12,96,29,59.7,54.0,1.07
11,63,39,77.3,80.8,0.93
20,34,22,88.7,50.0,1.79
11,27,26,60.4,110.8,0.54
12,62,28,63.7,88.0,0.77
8,56,26,74.9,64.7,1.21
12,99,31,65.1,51.0,1.32
7,9,30,75.2,65.2,1.19
18,3,36,108.7,50.0,2.18
18,21,23,95.9,50.0,1.92
19,37,39,107.0,50.0,2.19
8,27,38,87.3,74.3,1.21
0,55,34,36.8,50.0,0.76
6,57,28,69.2,50.0,1.42
7,91,22,71.0,51.5,1.41
12,96,38,70.0,54.0,1.27
20,93,38,102.2,50.0,2.02
18,19,38,110.1,50.0,2.18
3,36,29,27.2,50.0,0.52
19,86,26,97.0,50.0,1.89
8,94,24,79.9,52.0,1.54
9,59,31,77.1,70.5,1.08
8,82,32,74.3,56.0,1.32
6,85,40,90.7,50.0,1.77
18,24,28,97.8,50.0,1.91
8,53,37,87.1,65.7,1.32
7,63,35,81.7,56.2,1.42
11,67,25,61.2,77.5,0.79
18,83,25,89.8,50.0,1.77
20,93,30,95.9,50.0,1.91
9,27,37,83.2,86.5,0.97
10,16,36,64.8,106.0,0.61
5,12,20,34.1,50.0,0.73
8,20,33,81.9,76.7,1.08
1,100,25,29.9,50.0,0.62
21,50,34,100.8,50.0,1.99
0,76,39,46.7,50.0,0.93
22,41,24,51.4,50.0,1.06
21,95,25,94.9,50.0,1.93
7,18,26,69.6,63.7,1.14
23,77,25,47.2,50.0,0.9
21,43,33,100.5,50.0,2.03
16,68,40,74.1,60.7,1.19
22,83,35,57.8,50.0,1.14
23,0,24,52.6,50.0,1.09
13,33,21,63.8,105.8,0.59
9,20,27,77.2,90.0,0.83
0,87,22,37.6,50.0,0.78
18,42,21,91.1,50.0,1.86
18,92,33,95.7,50.0,1.94
15,40,23,53.4,80.0,0.63
13,81,40,73.8,65.8,1.1
8,54,20,69.9,65.3,1.08
17,85,40,110.8,52.5,2.15
16,13,37,73.7,79.0,0.92
4,76,34,37.6,50.0,0.73
9,67,29,70.5,66.5,1.08
9,43,34,83.5,78.5,1.02
7,83,40,91.6,52.8,1.72
18,9,36,103.1,50.0,2.08
18,11,22,102.3,50.0,2.0
14,57,21,60.8,78.7,0.78
4,74,25,27.2,50.0,0.5
5,74,41,47.8,50.0,0.93
16,3,24,61.0,82.3,0.72
1,97,30,29.4,50.0,0.57
18,22,24,96.3,50.0,1.97
15,72,34,65.0,64.0,1.03
20,79,29,92.0,50.0,1.87
3,22,35,29.3,50.0,0.54
22,62,37,62.0,50.0,1.27
8,1,35,78.9,83.0,0.91
1,89,20,28.1,50.0,0.59
0,62,32,40.9,50.0,0.86
14,49,28,61.0,84.0,0.68
18,29,21,90.9,50.0,1.82
3,22,23,23.4,50.0,0.47
4,52,21,35.6,50.0,0.72
7,11,34,80.5,64.8,1.2
13,88,38,73.8,60.0,1.26
8,8,22,78.5,80.7,1.0
15,32,32,65.9,84.0,0.74
13,41,25,56.9,99.2,0.55
21,36,31,95.3,50.0,1.9
4,10,21,30.9,50.0,0.61
3,31,29,30.9,50.0,0.6
12,88,30,61.1,62.0,0.99
16,48,21,62.5,67.3,0.89
17,27,38,103.8,62.2,1.72
1,67,35,36.7,50.0,0.75
4,86,20,25.3,50.0,0.52
20,71,33,101.4,50.0,2.04
17,73,39,108.4,54.5,2.01
15,22,23,57.6,89.0,0.63
20,79,30,94.1,50.0,1.89
23,1,20,52.3,50.0,1.07
5,24,29,33.5,50.0,0.65
13,65,40,71.2,79.2,0.94
20,43,38,105.1,50.0,2.06
19,40,31,96.4,50.0,1.89
9,100,37,82.8,50.0,1.63
13,48,26,65.4,93.3,0.69
23,56,34,55.6,50.0,1.14
5,80,32,30.6,50.0,0.6
8,41,29,76.6,69.7,1.06
19,61,32,99.1,50.0,1.95
22,18,27,46.6,50.0,0.98
0,92,27,32.0,50.0,0.62
6,89,38,87.1,50.0,1.7
7,92,29,73.2,51.3,1.46
21,51,25,93.6,50.0,1.91
0,68,39,45.6,50.0,0.94
9,74,23,77.8,63.0,1.27
22,90,30,48.4,50.0,0.98
11,23,39,75.9,114.2,0.67
21,48,26,98.5,50.0,1.97
11,23,24,61.2,114.2,0.49
6,38,23,77.8,50.0,1.52
22,84,33,52.2,50.0,1.07
9,4,25,76.0,98.0,0.74
23,34,30,55.0,50.0,1.05
10,43,25,55.2,88.0,0.59
2,55,33,33.8,50.0,0.71
9,91,39,92.6,54.5,1.7
13,72,28,52.0,73.3,0.68
17,47,28,95.0,58.8,1.65
9,75,28,79.0,62.5,1.22
8,9,34,81.5,80.3,1.05
22,50,22,47.3,50.0,0.97
8,62,31,74.0,62.7,1.22
2,62,24,29.0,50.0,0.6
1,1,39,40.6,50.0,0.85
7,80,38,86.4,53.3,1.66
18,34,29,92.7,50.0,1.83
6,80,25,75.8,50.0,1.52
18,77,23,89.4,50.0,1.81
8,55,35,79.1,65.0,1.17
13,26,26,54.9,111.7,0.48
7,65,40,89.3,55.8,1.6
20,99,33,97.5,50.0,1.92
13,100,27,62.0,50.0,1.26
21,44,21,96.8,50.0,1.96
0,53,24,35.7,50.0,0.7
8,61,41,91.9,63.0,1.5
20,66,40,108.0,50.0,2.2
5,84,28,32.3,50.0,0.63
9,43,26,77.2,78.5,1.03
15,75,30,60.9,62.5,0.99
15,20,24,62.0,90.0,0.64
8,32,20,77.7,72.7,1.12
12,31,22,61.3,119.0,0.51
17,69,41,111.0,55.2,2.01
9,68,29,72.0,66.0,1.11
22,39,36,56.0,50.0,1.14
7,83,36,85.2,52.8,1.62
14,15,36,66.6,106.7,0.64
4,66,36,43.8,50.0,0.85
23,28,34,56.2,50.0,1.08
15,39,22,59.3,80.5,0.76
0,93,40,46.4,50.0,0.89
13,64,34,61.8,80.0,0.76
4,56,24,26.0,50.0,0.55
7,95,39,88.2,50.8,1.72
9,80,23,75.5,60.0,1.22
4,56,26,24.2,50.0,0.46
15,78,28,60.5,61.0,1.01
6,56,23,77.1,50.0,1.51
20,9,21,95.6,50.0,1.91
1,78,35,37.3,50.0,0.8
20,72,33,102.5,50.0,2.02
15,50,39,71.4,75.0,0.93
17,34,23,97.6,61.0,1.61
3,68,34,32.7,50.0,0.61
3,72,34,39.5,50.0,0.75
7,22,41,91.9,63.0,1.41
1,8,39,43.5,50.0,0.91
23,39,36,61.7,50.0,1.24
5,64,25,36.6,50.0,0.72
13,17,38,74.6,119.2,0.65
17,57,20,93.1,57.2,1.63
17,99,21,91.9,50.2,1.86
15,9,34,64.5,95.5,0.68
18,85,27,97.4,50.0,1.94
18,79,33,96.0,50.0,1.87
6,63,20,77.8,50.0,1.58
8,63,33,82.0,62.3,1.27
16,69,20,56.3,60.3,0.96
7,42,28,78.2,59.7,1.29
0,93,41,50.8,50.0,1.04
14,59,36,68.4,77.3,0.92
9,14,37,83.9,93.0,0.86
4,63,31,31.0,50.0,0.61
17,63,32,96.9,56.2,1.76
21,89,36,105.7,50.0,2.07
23,93,23,45.8,50.0,0.9
14,71,30,64.0,69.3,0.9
4,8,38,43.0,50.0,0.88
19,65,40,108.3,50.0,2.13
3,17,33,37.0,50.0,0.71
13,0,27,65.4,133.3,0.46
0,40,36,40.6,50.0,0.77
2,85,25,32.8,50.0,0.65
5,66,29,22.4,50.0,0.48
6,69,27,74.4,50.0,1.48
19,73,40,107.3,50.0,2.12
11,33,21,62.6,105.8,0.64
9,26,24,72.0,87.0,0.84
20,1,24,97.4,50.0,1.98
14,56,20,63.9,79.3,0.82
12,94,28,60.9,56.0,1.05
21,95,31,98.7,50.0,1.94
3,37,24,33.5,50.0,0.69
23,50,38,58.7,50.0,1.14
10,63,20,63.2,74.7,0.88
20,4,33,99.2,50.0,1.94
2,27,35,37.5,50.0,0.72
21,23,22,90.2,50.0,1.77
8,39,22,77.5,70.3,1.07
5,100,29,26.1,50.0,0.51
22,51,41,65.1,50.0,1.27
9,20,38,80.0,90.0,0.9
10,69,22,57.4,70.7,0.79
4,75,31,32.2,50.0,0.68
18,70,23,96.7,50.0,1.95
7,68,20,76.5,55.3,1.34
19,21,26,96.8,50.0,1.92
7,19,32,77.1,63.5,1.22
16,23,37,74.5,75.7,1.03
17,5,29,95.9,65.8,1.41
23,16,31,50.1,50.0,1.03
16,77,36,69.0,57.7,1.18
12,70,37,69.3,80.0,0.85
8,91,23,73.6,53.0,1.38
23,49,41,69.5,50.0,1.34
22,95,22,49.1,50.0,0.96
22,58,25,53.9,50.0,1.1
11,46,32,68.3,95.0,0.73
3,88,39,43.2,50.0,0.86
17,25,24,96.8,62.5,1.59
7,53,31,73.1,57.8,1.29
8,8,26,78.9,80.7,1.02
1,49,23,30.8,50.0,0.58
6,94,30,72.5,50.0,1.41
23,72,23,52.4,50.0,1.02
23,5,37,56.7,50.0,1.16
15,23,39,68.6,88.5,0.74
21,87,28,97.7,50.0,1.99
21,93,33,102.9,50.0,2.03
5,63,27,28.9,50.0,0.54
